name_x|Bolsa de Madrid|Casa de Cervantes|Catedral de Sta María la Real de la Almudena|Congreso de los Diputados|Escenario Puerta del Angel|Iglesia Ortodoxa Rusa de Santa Maria Magdalena|Iglesia de San Pascual|Iglesia del Convento de las Descalzas Reales|La Mariblanca|Ministerio de Sanidad|Monasterio de la Encarnación|Museo Cerralbo|Palacio De Cristal|Palacio Real de Madrid|Palacio Vistalegre|Palacio de Cibeles|Palacio de Santa Cruz|Parroquia de Nuestra Señora del Buen Suceso|Paseo del Prado|Plaza de Cibeles|Plaza de Santa Ana|Puente del Rey|Puerta de Alcalá|Puerta del Sol|Real Oratorio Del Caballero de Gracia|Templo de Debod|Tribunal Supremo
Bolsa de Madrid|0.0|28.31818181818182|22.994318181818183|4.5397727272727275|49.08522727272727|53.56250000000001|0.0|22.994318181818183|13.420454545454547|28.31818181818182|22.994318181818183|38.34090909090909|20.335227272727273|22.994318181818183|71.17045454545456|0.0|22.869318181818183|47.5|0.0|0.0|28.31818181818182|39.92613636363637|4.5397727272727275|13.420454545454547|4.5397727272727275|39.92613636363637|28.56818181818182
Casa de Cervantes|27.40909090909091|0.0|23.90340909090909|22.869318181818183|49.99431818181817|84.5284090909091|27.40909090909091|23.90340909090909|14.329545454545455|0.0|23.90340909090909|39.25|47.74431818181819|23.90340909090909|72.07954545454545|27.40909090909091|5.448863636363637|48.40909090909091|27.40909090909091|27.40909090909091|0.0|40.835227272727266|31.948863636363637|14.329545454545455|22.869318181818183|40.835227272727266|29.477272727272727
Catedral de Sta María la Real de la Almudena|21.960227272727273|23.77840909090909|0.0|17.420454545454547|31.664772727272723|75.07954545454545|21.960227272727273|5.573863636363637|8.880681818181818|23.77840909090909|0.0|24.920454545454543|42.29545454545455|0.0|48.17613636363636|21.960227272727273|18.329545454545453|34.07954545454545|21.960227272727273|21.960227272727273|23.77840909090909|22.505681818181817|26.5|8.880681818181818|17.420454545454547|22.505681818181817|20.028409090909093
Congreso de los Diputados|4.5397727272727275|23.778409090909093|18.454545454545457|0.0|44.54545454545455|58.10227272727273|4.5397727272727275|18.454545454545457|8.88068181818182|23.778409090909093|18.454545454545457|33.80113636363637|24.875000000000004|18.454545454545457|66.63068181818181|4.5397727272727275|18.329545454545457|42.96022727272727|4.5397727272727275|4.5397727272727275|23.778409090909093|35.38636363636364|9.079545454545457|8.88068181818182|0.0|35.38636363636364|24.028409090909093
Escenario Puerta del Angel|48.46590909090909|50.28409090909092|32.07954545454545|43.92613636363637|0.0|73.55681818181819|48.46590909090909|26.50568181818182|35.38636363636364|50.28409090909092|32.07954545454545|24.50568181818182|61.13068181818182|32.07954545454545|67.30681818181819|48.46590909090909|44.83522727272728|15.624999999999998|48.46590909090909|48.46590909090909|50.28409090909092|10.465909090909092|53.00568181818182|35.38636363636364|43.92613636363637|10.465909090909092|37.65340909090909
Iglesia Ortodoxa Rusa de Santa Maria Magdalena|52.46590909090909|84.3409090909091|75.01704545454545|57.00568181818181|73.07954545454545|0.0|52.46590909090909|67.0284090909091|69.44318181818183|84.3409090909091|75.01704545454545|66.33522727272728|45.28409090909091|75.01704545454545|123.19318181818183|52.46590909090909|78.89204545454545|75.49431818181819|52.46590909090909|52.46590909090909|84.3409090909091|63.92045454545455|47.92613636363636|69.44318181818183|57.00568181818181|63.92045454545455|54.09659090909091
Iglesia de San Pascual|0.0|28.31818181818182|22.994318181818183|4.5397727272727275|49.08522727272727|53.56250000000001|0.0|22.994318181818183|13.420454545454547|28.31818181818182|22.994318181818183|38.34090909090909|20.335227272727273|22.994318181818183|71.17045454545456|0.0|22.869318181818183|47.5|0.0|0.0|28.31818181818182|39.92613636363637|4.5397727272727275|13.420454545454547|4.5397727272727275|39.92613636363637|28.56818181818182
Iglesia del Convento de las Descalzas Reales|21.960227272727273|23.77840909090909|5.573863636363637|17.420454545454547|26.09090909090909|67.09090909090908|21.960227272727273|0.0|8.880681818181818|23.77840909090909|5.573863636363637|19.34659090909091|42.29545454545455|5.573863636363637|53.75|21.960227272727273|18.329545454545453|28.505681818181817|21.960227272727273|21.960227272727273|23.77840909090909|16.93181818181818|26.5|8.880681818181818|17.420454545454547|16.93181818181818|11.147727272727273
La Mariblanca|13.079545454545455|14.897727272727273|9.573863636363637|8.539772727272728|35.66477272727273|70.19886363636363|13.079545454545455|9.573863636363637|0.0|14.897727272727273|9.573863636363637|24.920454545454547|33.41477272727273|9.573863636363637|57.74999999999999|13.079545454545455|9.448863636363637|34.07954545454545|13.079545454545455|13.079545454545455|14.897727272727273|26.50568181818182|17.61931818181818|0.0|8.539772727272728|26.50568181818182|15.147727272727275
Ministerio de Sanidad|27.40909090909091|0.0|23.90340909090909|22.869318181818183|49.99431818181817|84.5284090909091|27.40909090909091|23.90340909090909|14.329545454545455|0.0|23.90340909090909|39.25|47.74431818181819|23.90340909090909|72.07954545454545|27.40909090909091|5.448863636363637|48.40909090909091|27.40909090909091|27.40909090909091|0.0|40.835227272727266|31.948863636363637|14.329545454545455|22.869318181818183|40.835227272727266|29.477272727272727
